id,record_id,table_id,title,description
317,10081522,0,"2005-7-11|Khalis|Iraq|Armed Assault|12",""
318,10081523,0,"Parent: 325 Child: 87",""
319,10081524,0,"2005-7-14|Baghdad|Iraq|Bombing-Explosion|3",""
320,10081525,0,"Parent: 327 Child: 87",""
321,10081526,0,"2005-7-16|Baghdad|Iraq|Bombing-Explosion|8",""
322,10081527,0,"Parent: 329 Child: 87",""
323,10081528,0,"2005-7-19|Baghdad|Iraq|Assassination|3",""
324,10081529,0,"Parent: 331 Child: 87",""
325,10081530,0,"2005-7-21|Baghdad|Iraq|Hostage Taking Barricade ",""
326,10081531,0,"Parent: 333 Child: 87",""
327,10081532,0,"2005-7-29|Rabiah|Iraq|Bombing-Explosion|44",""
328,10081533,0,"Parent: 335 Child: 87",""
329,10081534,0,"2005-8-23|Baquba|Iraq|Bombing-Explosion|8",""
330,10081535,0,"Parent: 337 Child: 87",""
331,10081536,0,"2005-9-14|Baghdad|Iraq|Bombing-Explosion|160",""
332,10081537,0,"Parent: 339 Child: 87",""
333,10081538,0,"2005-9-16|Baghdad|Iraq|Bombing-Explosion|4",""
334,10081539,0,"Parent: 341 Child: 87",""
335,10081540,0,"2005-9-17|Baghdad|Iraq|Bombing-Explosion|30",""
336,10081541,0,"Parent: 343 Child: 87",""
337,10081542,0,"2005-9-25|Baghdad|Iraq|Bombing-Explosion|10",""
338,10081543,0,"Parent: 345 Child: 87",""
339,10081544,0,"2005-9-28|Tal Afar|Iraq|Bombing-Explosion|6",""
340,10081545,0,"Parent: 347 Child: 87",""
341,10081546,0,"2005-10-0|Unknown|Iraq|Hostage Taking Barricade ",""
342,10081547,0,"Parent: 349 Child: 87",""
343,10081548,0,"2005-11-5|Mosaki|Pakistan|Bombing-Explosion|8",""
344,10081549,0,"Parent: 351 Child: 8",""
345,10081550,0,"2005-11-9|Amman|Jordan|Bombing-Explosion|20",""
346,10081551,0,"Parent: 353 Child: 87",""
347,10081552,0,"2005-11-9|Amman|Jordan|Bombing-Explosion|20",""
348,10081553,0,"Parent: 355 Child: 87",""
